Category	Filtered keyword	Lvl 1	Lvl 2	Biofilm flag
DATA_env_broad_scale	culture	Engineered	Other	
DATA_env_broad_scale	Abramis_brama			
DATA_env_broad_scale	Acacia-invaded ecosystem			
DATA_env_broad_scale	Accipiter_nisus			
DATA_env_broad_scale	Acid mine drainage	Aquatic	Deep_subsurface	
DATA_env_broad_scale	acid mine drainage	Aquatic	Deep_subsurface	
DATA_env_broad_scale	acidic hot spring	Aquatic	Thermal_springs	
DATA_env_broad_scale	acidic hot spring water	Aquatic	Thermal_springs	
DATA_env_broad_scale	acidic nitrifying bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	Acrocephalus_scirpaceus			
DATA_env_broad_scale	activated slduge	Engineered	Wastewater	
DATA_env_broad_scale	activated sludge	Engineered	Wastewater	
DATA_env_broad_scale	Activated sludge attached growth	Engineered	Wastewater	
DATA_env_broad_scale	activated sludge microbiome	Engineered	Wastewater	
DATA_env_broad_scale	Activated sludge suspended growth	Engineered	Wastewater	
DATA_env_broad_scale	active permafrost layer	Terrestrial	Soil	
DATA_env_broad_scale	Aepyceros_melampus			
DATA_env_broad_scale	aerobic bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	aerobic granular sludge	Engineered	Wastewater	
DATA_env_broad_scale	agricultural	Terrestrial	Soil	
DATA_env_broad_scale	Agricultural	Terrestrial	Soil	
DATA_env_broad_scale	Agricultural biome	Terrestrial	Soil	
DATA_env_broad_scale	agricultural field	Terrestrial	Soil	
DATA_env_broad_scale	Agricultural field	Terrestrial	Soil	
DATA_env_broad_scale	Agricultural microbiome	Terrestrial	Soil	
DATA_env_broad_scale	Agricultural soil	Terrestrial	Soil	
DATA_env_broad_scale	agricultural soil	Terrestrial	Soil	
DATA_env_broad_scale	agricultural waste material [ENVO:01000371]	Engineered	Food production	
DATA_env_broad_scale	agriculturalal ecosystem [ENVO:00000077] | farm [ENVO:00000078]	Terrestrial	Soil	
DATA_env_broad_scale	agriculture [ENVO:01001442]	Terrestrial	Soil	
DATA_env_broad_scale	agriculture field	Terrestrial	Soil	
DATA_env_broad_scale	Agriculture soil	Terrestrial	Soil	
DATA_env_broad_scale	air	Air	Other	
DATA_env_broad_scale	Air [ENVO:00002005]|agricultural landscape diversification process [ENVO:01001634]	Air	Other	
DATA_env_broad_scale	air biome	Air	Other	
DATA_env_broad_scale	Air biome	Air	Other	
DATA_env_broad_scale	Air over the Red Sea	Air	Other	
DATA_env_broad_scale	air_biome	Air	Other	
DATA_env_broad_scale	Alburnus_alburnus			
DATA_env_broad_scale	Alder nodule microbiome	Plants-associated	Roots	
DATA_env_broad_scale	Alflafa	Plants-associated		
DATA_env_broad_scale	Alga[ENVO:02500019]			
DATA_env_broad_scale	alkaline environment | brine pool	Aquatic	Non-marine_Saline_and_Alkaline	
DATA_env_broad_scale	alkaline salt lake	Aquatic	Non-marine_Saline_and_Alkaline	
DATA_env_broad_scale	alpine meadow soil	Terrestrial	Soil	
DATA_env_broad_scale	alpine paramo	Terrestrial	Soil	
DATA_env_broad_scale	alpine snow pack	Aquatic	Freshwater	
DATA_env_broad_scale	alpine tundra	Terrestrial	Soil	
DATA_env_broad_scale	Amazon	Aquatic	Freshwater	
DATA_env_broad_scale	Amazon river basin	Aquatic	Freshwater	
DATA_env_broad_scale	Anaerbic digester	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobe digester	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	Anaerobic bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic bioreactor [ENVO:00002124]	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic bioreactor(ENVO:00002124)	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic culture	Engineered	Bioreactor	
DATA_env_broad_scale	Anaerobic digested sludge	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic digester	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic digester and bioelectrochemcial systems	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic digester biome	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic digester microbiome	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic digestion	Engineered	Bioreactor	
DATA_env_broad_scale	Anaerobic digestion sludge	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic membrane reactor	Engineered	Bioreactor	
DATA_env_broad_scale	Anaerobic membrane reactors treating domestic wastewater at 4C and 15C inoculated by soils and sediments from Lake Geneva and Svalbard	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic reactor	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic sludge	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic sludge blanket reactor [ENVO:00002213 ]	Engineered	Bioreactor	
DATA_env_broad_scale	anaerobic soda lake sediment	Aquatic	Sediment	
DATA_env_broad_scale	anaerobic system	Engineered	Bioreactor	
DATA_env_broad_scale	Anaerobic thermophilic biogas reactor	Engineered	Bioreactor	
DATA_env_broad_scale	Anal Gland Microbiome	Animal-associated		
DATA_env_broad_scale	anammox bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	Anas_platyrhynchos			
DATA_env_broad_scale	anatomical entity environment[ENVO:2100000]			
DATA_env_broad_scale	Andean Puna			
DATA_env_broad_scale	Anguis_fragilis			
DATA_env_broad_scale	animal	Animal-associated		
DATA_env_broad_scale	Animal	Animal-associated		
DATA_env_broad_scale	animal gut	Animal-associated	Digestive system	
DATA_env_broad_scale	animal litter	Animal-associated		
DATA_env_broad_scale	animal manure	Engineered		
DATA_env_broad_scale	animal-associated biome	Animal-associated		
DATA_env_broad_scale	animal-associated environment	Animal-associated		
DATA_env_broad_scale	animal-associated habitat	Animal-associated		
DATA_env_broad_scale	animal-associated habitat(ENVO:00006776); marine benthic biome(ENVO:01000024)	Animal-associated		
DATA_env_broad_scale	animals	Animal-associated		
DATA_env_broad_scale	anoxic bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	Anser_anser			
DATA_env_broad_scale	Antarctic Frozen Lake, Anoxic Water, 92m depth, water filtered using 0.05 um filter	Aquatic	Freshwater	
DATA_env_broad_scale	Antarctic Frozen Lake, Anoxic Water, 92m depth, water filtered using 0.45 um fllter	Aquatic	Freshwater	
DATA_env_broad_scale	Antarctic Frozen Lake, Anoxic Water, 99m depth, water filtered using 0.05 um filter	Aquatic	Freshwater	
DATA_env_broad_scale	Antarctic Frozen Lake, Anoxic Water, 99m depth, water filtered using 0.45 um filter	Aquatic	Freshwater	
DATA_env_broad_scale	Antarctic Frozen Lake, benthic anoxic sediment	Aquatic	Freshwater	
DATA_env_broad_scale	Antarctic ice covered Lake | microbial biofilrm	Aquatic	Freshwater	
DATA_env_broad_scale	anthropised terrestrial environmental zone			
DATA_env_broad_scale	anthropogenic environment			
DATA_env_broad_scale	Anthropogenic environment [ENVO:01000313]			
DATA_env_broad_scale	anthropogenic environmental material			
DATA_env_broad_scale	anthropogenic environmental material[ENVO:0010001]			
DATA_env_broad_scale	anthropogenic terrestrial			
DATA_env_broad_scale	anthropogenic terrestrial biome			
DATA_env_broad_scale	anthropogenic terrestrial biome (ENVO:01000219)			
DATA_env_broad_scale	anthropogenic terrestrial biome [ENVO_01000219]			
DATA_env_broad_scale	anthropogenic terrestrial biome [ENVO:01000219]			
DATA_env_broad_scale	apiary-biome			
DATA_env_broad_scale	Apis mellifera gut biome	Invertebrates-associated	Digestive system	
DATA_env_broad_scale	Apodemus_flavicollis			
DATA_env_broad_scale	Apodemus_sylvaticus			
DATA_env_broad_scale	aquaculture	Aquatic	Freshwater	
DATA_env_broad_scale	Aquaculture pond	Aquatic	Freshwater	
DATA_env_broad_scale	aquaponics systems			
DATA_env_broad_scale	aquatic			
DATA_env_broad_scale	AQUATIC	Aquatic		
DATA_env_broad_scale	Aquatic	Aquatic		
DATA_env_broad_scale	Aquatic (formerly temperate forest)	Aquatic		
DATA_env_broad_scale	aquatic biome	Aquatic		
DATA_env_broad_scale	Aquatic biome	Aquatic		
DATA_env_broad_scale	aquatic biome [ENVO_00002030]	Aquatic		
DATA_env_broad_scale	aquatic biome [ENVO:00002030]	Aquatic		
DATA_env_broad_scale	aquatic environment	Aquatic		
DATA_env_broad_scale	aquatic metagenome	Aquatic		
DATA_env_broad_scale	aquifer	Aquatic	Deep_subsurface	
DATA_env_broad_scale	aquifer biome	Aquatic	Deep_subsurface	
DATA_env_broad_scale	aquifer brines	Aquatic	Deep_subsurface	
DATA_env_broad_scale	arable soil	Terrestrial	Soil	
DATA_env_broad_scale	Arctic			
DATA_env_broad_scale	arctic			
DATA_env_broad_scale	arctic biome			
DATA_env_broad_scale	Arctic Biome			
DATA_env_broad_scale	Arctic biome			
DATA_env_broad_scale	Arctic tundra	Terrestrial	Soil	
DATA_env_broad_scale	Ardea_cinerea			
DATA_env_broad_scale	area of cropland	Terrestrial	Soil	
DATA_env_broad_scale	area of cropland [ENVO:01000892]	Terrestrial	Soil	
DATA_env_broad_scale	area of developed open space	Terrestrial	Soil	
DATA_env_broad_scale	area of developed space with high usage intensity	Terrestrial	Soil	
DATA_env_broad_scale	area of developed space with medium usage intensity	Terrestrial	Soil	
DATA_env_broad_scale	arid biome [ENVO_01001838]	Terrestrial	Soil	
DATA_env_broad_scale	arid biome [ENVO:01001838]	Terrestrial	Soil	
DATA_env_broad_scale	arid biome | brine pool	Terrestrial	Soil	
DATA_env_broad_scale	arid subtropical [ENVO:01000378]	Terrestrial	Soil	
DATA_env_broad_scale	As-contaminated soil	Terrestrial	Soil	
DATA_env_broad_scale	Asclepias tuberosa			
DATA_env_broad_scale	Asio_otus			
DATA_env_broad_scale	Aspius_aspius			
DATA_env_broad_scale	Atlantic ocean	Aquatic	Marine	
DATA_env_broad_scale	Atlantic Ocean	Aquatic	Marine	
DATA_env_broad_scale	Atlantic_Highlands	Aquatic	Marine	
DATA_env_broad_scale	Atlantic_Maritime	Aquatic	Marine	
DATA_env_broad_scale	atoll [ENVO:00000166]			
DATA_env_broad_scale	B. braunii microbiota			
DATA_env_broad_scale	baboon gut	Mammals-associated	Digestive system	
DATA_env_broad_scale	bacteria			
DATA_env_broad_scale	bacterial mock community			
DATA_env_broad_scale	bacteriome			
DATA_env_broad_scale	Balaenoptera_borealis			
DATA_env_broad_scale	BALB/c nude mice during chemotherapy			
DATA_env_broad_scale	bamboo			
DATA_env_broad_scale	Banana orchard			
DATA_env_broad_scale	banana plantation			
DATA_env_broad_scale	banana plantation biome			
DATA_env_broad_scale	banana plantation ecosystem			
DATA_env_broad_scale	banana waste			
DATA_env_broad_scale	batch culture			
DATA_env_broad_scale	Bauxite ITS metabarcoding			
DATA_env_broad_scale	Bauxite microbiome			
DATA_env_broad_scale	Bay [ENVO_00000032]	Aquatic	Marine	
DATA_env_broad_scale	beach			
DATA_env_broad_scale	Beagle gut	Mammals-associated	Digestive system	
DATA_env_broad_scale	Beartooth Plateau			
DATA_env_broad_scale	beetle metagenome	Invertebrates-associated		
DATA_env_broad_scale	bio_material			
DATA_env_broad_scale	biocrust	Terrestrial	Soil	yes
DATA_env_broad_scale	biofilm			yes
DATA_env_broad_scale	biofilm microbial community			yes
DATA_env_broad_scale	biofilter			yes
DATA_env_broad_scale	Biogas biome			
DATA_env_broad_scale	biogas plant	Engineered	Bioreactor	
DATA_env_broad_scale	biogas production plant	Engineered	Bioreactor	
DATA_env_broad_scale	Biogas reactor	Engineered	Bioreactor	
DATA_env_broad_scale	biogas reactor	Engineered	Bioreactor	
DATA_env_broad_scale	Biological sample generated in vitro in our laboratory	Engineered		
DATA_env_broad_scale	biom			
DATA_env_broad_scale	biomaterial containment unit			
DATA_env_broad_scale	biomaterial containment unit [ENVO_01001816]			
DATA_env_broad_scale	biomaterial containment unit [ENVO:01001816]			
DATA_env_broad_scale	biome			
DATA_env_broad_scale	biome [ENVO:00000428]			
DATA_env_broad_scale	biome [ENVO:00000428]|aquatic biome [ENVO:00002030]	Aquatic		
DATA_env_broad_scale	biome[ENVO:00000428]			
DATA_env_broad_scale	biopurification system			
DATA_env_broad_scale	bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	Bioreactor	Engineered	Bioreactor	
DATA_env_broad_scale	bioreactor [ENVO:00002123]	Engineered	Bioreactor	
DATA_env_broad_scale	bioreactor biome	Engineered	Bioreactor	
DATA_env_broad_scale	bioreactor enrichment	Engineered	Bioreactor	
DATA_env_broad_scale	bioreactor metagenome	Engineered	Bioreactor	
DATA_env_broad_scale	bioreactor microbiome|wastewater biome	Engineered	Bioreactor	
DATA_env_broad_scale	bisphenol A culture medium			
