Run	Choice	Total	Excluded	To_process	Other
DRR003638	partial_excluded	3	0	1	2
DRR014182	partial_excluded	3	0	1	2
DRR014783	partial_excluded	2	0	1	1
DRR015114	full_excluded	1	1	0	0
DRR053211	partial_excluded	3	0	2	1
DRR067591	partial_excluded	2	0	1	1
DRR070907	partial_excluded	2	0	1	1
DRR090569	partial_excluded	2	0	1	1
DRR121192	full_excluded	1	1	0	0
DRR121196	full_excluded	1	1	0	0
DRR164510	full_excluded	1	1	0	0
DRR173066	full_excluded	1	1	0	0
DRR175981	full_excluded	1	1	0	0
DRR193874	partial_excluded	2	0	1	1
DRR249378	full_excluded	1	1	0	0
DRR308533	partial_excluded	2	0	1	1
DRR354999	partial_excluded	2	0	1	1
DRR355000	partial_excluded	2	0	1	1
DRR355001	partial_excluded	2	0	1	1
DRR355002	partial_excluded	2	0	1	1
DRR355003	partial_excluded	2	0	1	1
DRR355004	partial_excluded	2	0	1	1
DRR355005	partial_excluded	2	0	1	1
DRR355006	partial_excluded	2	0	1	1
DRR355007	partial_excluded	2	0	1	1
DRR355008	partial_excluded	2	0	1	1
DRR355009	partial_excluded	2	0	1	1
DRR355010	partial_excluded	2	0	1	1
DRR355011	partial_excluded	2	0	1	1
DRR355012	partial_excluded	2	0	1	1
DRR355013	partial_excluded	2	0	1	1
DRR355014	partial_excluded	2	0	1	1
DRR355015	partial_excluded	2	0	1	1
DRR355016	partial_excluded	2	0	1	1
DRR355017	partial_excluded	2	0	1	1
DRR355018	partial_excluded	2	0	1	1
DRR359554	partial_excluded	2	0	1	1
DRR359555	partial_excluded	2	0	1	1
DRR361651	partial_excluded	2	0	1	1
DRR361652	partial_excluded	2	0	1	1
DRR361654	partial_excluded	2	0	1	1
DRR374620	partial_excluded	2	0	1	1
DRR374759	partial_excluded	2	0	1	1
DRR374760	partial_excluded	2	0	1	1
DRR374761	partial_excluded	2	0	1	1
DRR374762	partial_excluded	2	0	1	1
DRR374763	partial_excluded	2	0	1	1
DRR374764	partial_excluded	2	0	1	1
DRR374765	partial_excluded	2	0	1	1
DRR374766	partial_excluded	2	0	1	1
DRR374767	partial_excluded	2	0	1	1
DRR374768	partial_excluded	2	0	1	1
DRR408249	partial_excluded	2	0	1	1
DRR408250	partial_excluded	2	0	1	1
DRR408253	partial_excluded	2	0	1	1
DRR408255	partial_excluded	2	0	1	1
DRR408257	partial_excluded	2	0	1	1
DRR408260	partial_excluded	2	0	1	1
DRR408264	partial_excluded	2	0	1	1
DRR408267	partial_excluded	2	0	1	1
DRR408269	partial_excluded	2	0	1	1
DRR408270	partial_excluded	2	0	1	1
DRR408273	partial_excluded	2	0	1	1
DRR408276	partial_excluded	2	0	1	1
DRR408278	partial_excluded	2	0	1	1
DRR408281	partial_excluded	2	0	1	1
DRR408283	partial_excluded	2	0	1	1
DRR408284	partial_excluded	2	0	1	1
DRR408287	partial_excluded	2	0	1	1
DRR408290	partial_excluded	3	0	2	1
DRR437139	partial_excluded	2	0	1	1
DRR437140	partial_excluded	2	0	1	1
DRR437141	partial_excluded	2	0	1	1
DRR437144	partial_excluded	2	0	1	1
DRR437145	partial_excluded	2	0	1	1
DRR437146	partial_excluded	2	0	1	1
DRR437147	partial_excluded	2	0	1	1
DRR438461	partial_excluded	2	0	1	1
DRR438462	partial_excluded	2	0	1	1
DRR438463	partial_excluded	2	0	1	1
DRR438464	partial_excluded	2	0	1	1
DRR438465	partial_excluded	2	0	1	1
DRR487157	full_excluded	1	1	0	0
DRR487164	full_excluded	1	1	0	0
ERR10034884	partial_excluded	2	0	1	1
ERR10034885	partial_excluded	2	0	1	1
ERR10034889	partial_excluded	2	0	1	1
ERR10034890	partial_excluded	2	0	1	1
ERR10034891	partial_excluded	2	0	1	1
ERR10034892	partial_excluded	2	0	1	1
ERR10034893	partial_excluded	2	0	1	1
ERR10034894	partial_excluded	2	0	1	1
ERR10034895	partial_excluded	2	0	1	1
ERR10034896	partial_excluded	2	0	1	1
ERR10034897	partial_excluded	2	0	1	1
ERR10034898	partial_excluded	2	0	1	1
ERR10034899	partial_excluded	2	0	1	1
ERR10048364	partial_excluded	2	0	1	1
ERR10048365	partial_excluded	2	0	1	1
ERR10048366	partial_excluded	2	0	1	1
ERR10048367	partial_excluded	2	0	1	1
ERR10048368	partial_excluded	2	0	1	1
ERR10048369	partial_excluded	2	0	1	1
ERR10048370	partial_excluded	2	0	1	1
ERR10048371	partial_excluded	2	0	1	1
ERR10048372	partial_excluded	2	0	1	1
ERR10048373	partial_excluded	2	0	1	1
ERR10048374	partial_excluded	2	0	1	1
ERR10048375	partial_excluded	2	0	1	1
